# Written by the BoltzWann module of the Wannier90 code.
# [K coefficient in SI units, i.e. in W/m/K]
# [the K coefficient is defined in the documentation, and is an ingredient of
#  the thermal conductivity. See the docs for further information.]
# Mu(eV) Temp(K) Kappa_xx Kappa_xy Kappa_yy Kappa_xz Kappa_yz Kappa_zz
   5.290000000       700.0000000       6.137465077     -0.2020174653E-02   6.104183185     -0.5988258864E-02 -0.1645146615E-02   6.111689698    
   5.300000000       300.0000000      0.4191704220     -0.5050789829E-04  0.4197104457     -0.5393819700E-03 -0.1093249659E-03  0.4181233384    
   5.300000000       500.0000000       2.576196259     -0.6408465329E-03   2.569734430     -0.3229869024E-02 -0.8265217742E-03   2.568257030    
   5.300000000       700.0000000       6.637504568     -0.2220701899E-02   6.600249885     -0.6367083904E-02 -0.1761131266E-02   6.609184165    
   5.310000000       300.0000000      0.5302975541     -0.6484035630E-04  0.5308942032     -0.6957733372E-03 -0.1443434667E-03  0.5290001545    
   5.310000000       500.0000000       2.907242942     -0.7428032911E-03   2.899360618     -0.3627538832E-02 -0.9368504972E-03   2.898150251    
   5.310000000       700.0000000       7.154902314     -0.2435102261E-02   7.113287424     -0.6732659743E-02 -0.1875751852E-02   7.123848357    
   5.320000000       300.0000000      0.6631239276     -0.8246255622E-04  0.6637487929     -0.8889894908E-03 -0.1893065766E-03  0.6615402524    
   5.320000000       500.0000000       3.263028401     -0.8583768935E-03   3.253452568     -0.4045642668E-02 -0.1055029459E-02   3.252645390    
   5.320000000       700.0000000       7.686758351     -0.2663200912E-02   7.640377904     -0.7076989469E-02 -0.1986873408E-02   7.652776987    
   5.330000000       300.0000000      0.8185989631     -0.1038379413E-03  0.8192051396     -0.1123467647E-02 -0.2462982747E-03  0.8166974969    
   5.330000000       500.0000000       3.641715603     -0.9888456870E-03   3.630134592     -0.4477284263E-02 -0.1179509767E-02   3.629891369    
   5.330000000       700.0000000       8.229801422     -0.2904548092E-02   8.178235999     -0.7391401637E-02 -0.2092094640E-02   8.192694584    
   5.340000000       300.0000000      0.9965134797     -0.1294975504E-03  0.9970342005     -0.1401996565E-02 -0.3172966909E-03  0.9942701355    
   5.340000000       500.0000000       4.040873116     -0.1135497560E-02   4.026935025     -0.4913410035E-02 -0.1308007364E-02   4.027439717    
   5.340000000       700.0000000       8.780474682     -0.3158364141E-02   8.723295860     -0.7666811758E-02 -0.2188806845E-02   8.740041581    
   5.350000000       300.0000000       1.195474222     -0.1602285514E-03   1.195825080     -0.1724604685E-02 -0.4036941493E-03   1.192873592    
   5.350000000       500.0000000       4.457627562     -0.1299574174E-02   4.440939193     -0.5342873512E-02 -0.1437438705E-02   4.442396056    
   5.350000000       700.0000000       9.335041492     -0.3423480992E-02   9.271818232     -0.7894076889E-02 -0.2274285963E-02   9.291080679    
   5.360000000       300.0000000       1.413277349     -0.1974508692E-03   1.413361633     -0.2087643604E-02 -0.5056643767E-03   1.410310639    
   5.360000000       500.0000000       4.888873399     -0.1482166849E-02   4.868999516     -0.5752726553E-02 -0.1563924538E-02   4.871628982    
   5.360000000       700.0000000       9.889704550     -0.3698283957E-02   9.820011045     -0.8064440115E-02 -0.2345820548E-02   9.842016775    
   5.370000000       300.0000000       1.647662285     -0.2437712239E-03   1.647376332     -0.2483632626E-02 -0.6216959258E-03   1.644321226    
   5.370000000       500.0000000       5.331507528     -0.1684041965E-02   5.307970213     -0.6128765478E-02 -0.1682885719E-02   5.312004090    
   5.370000000       700.0000000       10.44072982     -0.3980660534E-02   10.36415495     -0.8170051634E-02 -0.2400875459E-02   10.38912199    
   5.380000000       300.0000000       1.897180119     -0.3035830878E-03   1.896414320     -0.2902190863E-02 -0.7487221296E-03   1.893447666    
   5.380000000       500.0000000       5.782645405     -0.1905381700E-02   5.754923428     -0.6456329803E-02 -0.1789244040E-02   5.760600052    
   5.380000000       700.0000000       10.98456616     -0.4267966153E-02   10.90072476     -0.8204541865E-02 -0.2437287056E-02   10.92885675    
   5.390000000       300.0000000       2.161773530     -0.3833539017E-03   2.160406218     -0.3331413136E-02 -0.8828036226E-03   2.157613034    
   5.390000000       500.0000000       6.239776293     -0.2145449203E-02   6.207304697     -0.6721323471E-02 -0.1877726778E-02   6.214864583    
   5.390000000       700.0000000       11.51795258     -0.4557019784E-02   11.42649871     -0.8163610507E-02 -0.2453481139E-02   11.45797881    
   5.400000000       300.0000000       2.442794765     -0.4908468833E-03   2.440678596     -0.3758092227E-02 -0.1019556392E-02   2.438138573    
   5.400000000       500.0000000       6.700829473     -0.2402226163E-02   6.663000034     -0.6911409557E-02 -0.1943262609E-02   6.672682308    
   5.400000000       700.0000000       12.03800723     -0.4844143808E-02   11.93864966     -0.8045585175E-02 -0.2448700030E-02   11.97363443    
   5.410000000       300.0000000       2.742495818     -0.6326257659E-03   2.739437200     -0.4165986614E-02 -0.1153762150E-02   2.737233468    
   5.410000000       500.0000000       7.164146703     -0.2672115367E-02   7.120310403     -0.7017310942E-02 -0.1981451255E-02   7.132349887    
   5.410000000       700.0000000       12.54229553     -0.5125261384E-02   12.43481569     -0.7851895746E-02 -0.2423220746E-02   12.47342899    
   5.420000000       300.0000000       3.063258164     -0.8107662928E-03   3.058991697     -0.4534332655E-02 -0.1278933428E-02   3.057225508    
   5.420000000       500.0000000       7.628380925     -0.2949830716E-02   7.577854031     -0.7034110040E-02 -0.1989085741E-02   7.592478479    
   5.420000000       700.0000000       13.02887813     -0.5396059592E-02   12.91315056     -0.7587407593E-02 -0.2378542460E-02   12.95547754    
   5.430000000       300.0000000       3.406844782     -0.1021129200E-02   3.401007504     -0.4840995701E-02 -0.1387719180E-02   3.399815969    
   5.430000000       500.0000000       8.092359345     -0.3228590352E-02   8.034435013     -0.6962371026E-02 -0.1964696417E-02   8.051861694    
   5.430000000       700.0000000       13.49634185     -0.5652217682E-02   13.37235722     -0.7260560451E-02 -0.2317519241E-02   13.41843856    
   5.440000000       300.0000000       3.773823487     -0.1253797103E-02   3.765932677     -0.5071647400E-02 -0.1472400451E-02   3.765502419    
   5.440000000       500.0000000       8.554955667     -0.3500675236E-02   8.488923165     -0.6808839932E-02 -0.1909065399E-02   8.509353981    
   5.440000000       700.0000000       13.94381853     -0.5889687900E-02   13.81170873     -0.6883270950E-02 -0.2244413978E-02   13.86153525    
   5.450000000       300.0000000       4.163222980     -0.1493748579E-02   4.152654782     -0.5228804864E-02 -0.1525069033E-02   4.153224314    
   5.450000000       500.0000000       9.015010949     -0.3758323058E-02   8.940184595     -0.6586481197E-02 -0.1825630694E-02   8.963799094    
   5.450000000       700.0000000       14.37099592     -0.6105003736E-02   14.23106070     -0.6470576058E-02 -0.2164852273E-02   14.28456846    
   5.460000000       300.0000000       4.572509240     -0.1721983609E-02   4.558474632     -0.5331144631E-02 -0.1539876560E-02   4.560324972    
   5.460000000       500.0000000       9.471327735     -0.3994815762E-02   9.387087504     -0.6313734819E-02 -0.1720672506E-02   9.414033522    
   5.460000000       700.0000000       14.77812377     -0.6295580379E-02   14.63085760     -0.6040019716E-02 -0.2085661545E-02   14.68792385    
   5.470000000       300.0000000       4.997871771     -0.1921088729E-02   4.979394029     -0.5401692743E-02 -0.1518437138E-02   4.982835075    
   5.470000000       500.0000000       9.922742037     -0.4205519981E-02   9.828587442     -0.6013092632E-02 -0.1603174418E-02   9.858969457    
   5.470000000       700.0000000       15.16601544     -0.6459967678E-02   15.01213268     -0.5610811909E-02 -0.2014590416E-02   15.07257309    
   5.480000000       300.0000000       5.434622094     -0.2085609698E-02   5.410520951     -0.5455552313E-02 -0.1472977270E-02   5.415884911    
   5.480000000       500.0000000       10.36825665     -0.4388604241E-02   10.26387476     -0.5709278009E-02 -0.1484307682E-02   10.29774032    
   5.480000000       700.0000000       15.53604271     -0.6598018789E-02   15.37649851     -0.5202813498E-02 -0.1959915816E-02   15.44006618    
   5.490000000       300.0000000       5.877713017     -0.2227899277E-02   5.846596656     -0.5497283834E-02 -0.1420484439E-02   5.854244141    
   5.490000000       500.0000000       10.80720124     -0.4545238787E-02   10.69254833     -0.5427357483E-02 -0.1376595791E-02   10.72987309    
