# Written by the BoltzWann module of the Wannier90 code.
# [Seebeck coefficient in SI units, i.e. in V/K]
# Mu(eV) Temp(K) Seebeck_xx Seebeck_xy Seebeck_xz Seebeck_yx Seebeck_yy Seebeck_yz Seebeck_zx Seebeck_zy Seebeck_zz
   5.290000000       300.0000000     -0.4639946561E-03  0.2281706997E-08  0.7303313764E-07  0.2209218936E-08 -0.4635332897E-03  0.2737582109E-07  0.7340241967E-07  0.2762748428E-07 -0.4641406271E-03
   5.290000000       500.0000000     -0.3659647812E-03  0.1458899414E-07  0.1201314949E-07  0.1449348641E-07 -0.3654794437E-03  0.1294776239E-07  0.1201232999E-07  0.1313138556E-07 -0.3659378129E-03
   5.290000000       700.0000000     -0.3174714555E-03  0.1744828437E-07 -0.3060490857E-07  0.1734167831E-07 -0.3168913241E-03 -0.1544924505E-08 -0.3089746270E-07 -0.1393364069E-08 -0.3173059426E-03
   5.300000000       300.0000000     -0.4316393924E-03  0.2143697630E-08  0.7271205007E-07  0.2071856425E-08 -0.4311838951E-03  0.2756113888E-07  0.7307957165E-07  0.2781199227E-07 -0.4317846392E-03
   5.300000000       500.0000000     -0.3474773906E-03  0.1472557338E-07  0.1097687409E-07  0.1463067408E-07 -0.3469938120E-03  0.1265332518E-07  0.1096977753E-07  0.1283568820E-07 -0.3474477710E-03
   5.300000000       700.0000000     -0.3046725301E-03  0.1750225684E-07 -0.3160053348E-07  0.1739576163E-07 -0.3040919717E-03 -0.1905013809E-08 -0.3190004226E-07 -0.1753663386E-08 -0.3045039929E-03
   5.310000000       300.0000000     -0.3997133944E-03  0.1961078368E-08  0.7223865357E-07  0.1890140205E-08 -0.3992660995E-03  0.2780051315E-07  0.7260362404E-07  0.2805014681E-07 -0.3998576035E-03
   5.310000000       500.0000000     -0.3293231283E-03  0.1489792928E-07  0.9715381955E-08  0.1480374350E-07 -0.3288414660E-03  0.1228544883E-07  0.9700628222E-08  0.1246634404E-07 -0.3292902677E-03
   5.310000000       700.0000000     -0.2920836476E-03  0.1755983866E-07 -0.3272296360E-07  0.1745342347E-07 -0.2915024992E-03 -0.2314291891E-08 -0.3303034861E-07 -0.2163146643E-08 -0.2919116725E-03
   5.320000000       300.0000000     -0.3683855534E-03  0.1731252867E-08  0.7154293985E-07  0.1661548533E-08 -0.3679494719E-03  0.2808958800E-07  0.7190424441E-07  0.2833738453E-07 -0.3685282937E-03
   5.320000000       500.0000000     -0.3115599691E-03  0.1511407515E-07  0.8191477843E-08  0.1502071142E-07 -0.3110803073E-03  0.1182853933E-07  0.8167447024E-08  0.1200775517E-07 -0.3115231707E-03
   5.320000000       700.0000000     -0.2797258895E-03  0.1761965801E-07 -0.3398011883E-07  0.1751327359E-07 -0.2791439472E-03 -0.2776688989E-08 -0.3429637253E-07 -0.2625735404E-08 -0.2795500266E-03
   5.330000000       300.0000000     -0.3378728566E-03  0.1463003172E-08  0.7052810599E-07  0.1394937494E-08 -0.3374516539E-03  0.2840212165E-07  0.7088421038E-07  0.2864716910E-07 -0.3380135534E-03
   5.330000000       500.0000000     -0.2942495343E-03  0.1538269184E-07  0.6366874662E-08  0.1529025450E-07 -0.2937718381E-03  0.1126549307E-07  0.6331691010E-08  0.1144282793E-07 -0.2942079846E-03
   5.330000000       700.0000000     -0.2676202249E-03  0.1767957615E-07 -0.3537803143E-07  0.1757314960E-07 -0.2670372394E-03 -0.3295583139E-08 -0.3570420811E-07 -0.3144797540E-08 -0.2674399905E-03
   5.340000000       300.0000000     -0.3084389040E-03  0.1185044278E-08  0.6906921516E-07  0.1119078226E-08 -0.3080366853E-03  0.2867644273E-07  0.6941808597E-07  0.2891744767E-07 -0.3085768247E-03
