# Written by the BoltzWann module of the Wannier90 code.
# [(Electrical conductivity * Seebeck coefficient) in SI units, i.e. in Ampere/m/K]
# Mu(eV) Temp(K) (Sigma*S)_xx (Sigma*S)_xy (Sigma*S)_yy (Sigma*S)_xz (Sigma*S)_yz (Sigma*S)_zz
   5.340000000       300.0000000       8.993351256     -0.9954009298E-03   9.006790138     -0.1135950013E-01 -0.2170038584E-02   8.970346829    
   5.340000000       500.0000000       23.87492184     -0.5154399671E-02   23.83790931     -0.3167911695E-01 -0.7936495027E-02   23.81002521    
   5.340000000       700.0000000       40.21000242     -0.1224852987E-01   40.03147006     -0.4389275216E-01 -0.1178309669E-01   40.05731585    
   5.350000000       300.0000000       11.45863100     -0.1264375675E-02   11.47289421     -0.1499315551E-01 -0.2986552596E-02   11.43033343    
   5.350000000       500.0000000       27.32956347     -0.6095162260E-02   27.28153297     -0.3633737428E-01 -0.9229767629E-02   27.25483113    
   5.350000000       700.0000000       43.99442561     -0.1371078816E-01   43.78930199     -0.4737213787E-01 -0.1281793819E-01   43.82417973    
   5.360000000       300.0000000       14.32259709     -0.1569627857E-02   14.33653460     -0.1948978269E-01 -0.4070392996E-02   14.28869731    
   5.360000000       500.0000000       31.04916555     -0.7187013286E-02   30.98740617     -0.4130526411E-01 -0.1064675379E-01   30.96351129    
   5.360000000       700.0000000       47.92463095     -0.1530539125E-01   47.68947379     -0.5076893650E-01 -0.1385146062E-01   47.73518485    
   5.370000000       300.0000000       17.53685366     -0.1906075416E-02   17.54892676     -0.2487816949E-01 -0.5464615914E-02   17.49737252    
   5.370000000       500.0000000       34.99890540     -0.8451295303E-02   34.92024004     -0.4648183431E-01 -0.1216707267E-01   34.90113639    
   5.370000000       700.0000000       51.96908874     -0.1703445196E-01   51.70016104     -0.5399197250E-01 -0.1485892312E-01   51.75868536    
   5.380000000       300.0000000       21.02160683     -0.2278537852E-02   21.03001828     -0.3110288439E-01 -0.7186660694E-02   20.97692227    
   5.380000000       500.0000000       39.13390374     -0.9911529650E-02   39.03465388     -0.5172760881E-01 -0.1375749529E-01   39.02267199    
   5.380000000       700.0000000       56.09108434     -0.1889713161E-01   55.78436634     -0.5693837620E-01 -0.1581120716E-01   55.85784389    
   5.390000000       300.0000000       24.67924195     -0.2720170837E-02   24.68209157     -0.3802041469E-01 -0.9220554715E-02   24.63004390    
   5.390000000       500.0000000       43.40117398     -0.1159209264E-01   43.27712035     -0.5686414794E-01 -0.1537053645E-01   43.27490810    
   5.390000000       700.0000000       60.24932296     -0.2088872138E-01   59.90053469     -0.5949610701E-01 -0.1667533293E-01   59.99123883    
   5.400000000       300.0000000       28.41149669     -0.3316032222E-02   28.40690153     -0.4541375809E-01 -0.1152044375E-01   28.35867552    
   5.400000000       500.0000000       47.74203130     -0.1351544115E-01   47.58836590     -0.6167690095E-01 -0.1694402562E-01   47.59884896    
   5.400000000       700.0000000       64.39869758     -0.2299965205E-01   64.00333455     -0.6154761074E-01 -0.1741539238E-01   64.11363748    
   5.410000000       300.0000000       32.13382265     -0.4214919954E-02   32.11994870     -0.5299661637E-01 -0.1401429998E-01   32.07829482    
   5.410000000       500.0000000       52.09452729     -0.1569765603E-01   51.90579381     -0.6592195110E-01 -0.1840190767E-01   51.93213155    
   5.410000000       700.0000000       68.49116891     -0.2521452756E-01   68.04455421     -0.6297456950E-01 -0.1799393128E-01   68.17688460    
   5.420000000       300.0000000       35.78295427     -0.5606416953E-02   35.75790712     -0.6037654402E-01 -0.1659714747E-01   35.72542798    
   5.420000000       500.0000000       56.39551419     -0.1814256041E-01   56.16553767     -0.6933718692E-01 -0.1965649699E-01   56.21107896    
   5.420000000       700.0000000       72.47670694     -0.2751131903E-01   71.97406419     -0.6366358577E-01 -0.1837377672E-01   72.13085719    
   5.430000000       300.0000000       39.31733537     -0.7666492251E-02   39.27889135     -0.6699708905E-01 -0.1912334657E-01   39.25806053    
   5.430000000       500.0000000       60.58208672     -0.2083530422E-01   60.30389816     -0.7165811819E-01 -0.2061240460E-01   60.37213891    
   5.430000000       700.0000000       76.30425310     -0.2986088405E-01   75.74080544     -0.6351251545E-01 -0.1852026055E-01   75.92444517    
   5.440000000       300.0000000       42.71209420     -0.1050536223E-01   42.65732914     -0.7214463461E-01 -0.2140814054E-01   42.65067253    
   5.440000000       500.0000000       64.59234803     -0.2373686553E-01   64.25811581     -0.7263770245E-01 -0.2117231525E-01   64.35265610    
   5.440000000       700.0000000       79.92267720     -0.3222697754E-01   79.29377838     -0.6243704517E-01 -0.1840373756E-01   79.50653280    
   5.450000000       300.0000000       45.95021530     -0.1412894563E-01   45.87509226     -0.7509170200E-01 -0.2322279132E-01   45.88544780    
   5.450000000       500.0000000       68.36564192     -0.2678116846E-01   67.96662847     -0.7206821434E-01 -0.2124462339E-01   68.09112379    
   5.450000000       700.0000000       83.28171955     -0.3456688669E-01   82.58302383     -0.6037701818E-01 -0.1800224174E-01   82.82697188    
   5.460000000       300.0000000       49.01198067     -0.1838822561E-01   48.91086273     -0.7532023816E-01 -0.2428081319E-01   48.94157076    
   5.460000000       500.0000000       71.84253721     -0.2987628280E-01   71.36910657     -0.6980199838E-01 -0.2075256379E-01   71.52720574    
   5.460000000       700.0000000       86.33292177     -0.3683275318E-01   85.56059887     -0.5730197325E-01 -0.1730407556E-01   85.83754992    
   5.470000000       300.0000000       51.86618174     -0.2293189379E-01   51.73121882     -0.7265496583E-01 -0.2426971853E-01   51.78613893    
   5.470000000       500.0000000       74.96491506     -0.3291034400E-01   74.40662471     -0.6576774352E-01 -0.1964389148E-01   74.60188664    
   5.470000000       700.0000000       89.03055563     -0.3897355080E-01   88.18155617     -0.5321538531E-01 -0.1631009282E-01   88.49296200    
   5.480000000       300.0000000       54.46459270     -0.2725654618E-01   54.28501595     -0.6720942030E-01 -0.2296874176E-01   54.36839517    
   5.480000000       500.0000000       77.67648516     -0.3576147246E-01   77.02230446     -0.5998003864E-01 -0.1789959113E-01   77.25808702    
   5.480000000       700.0000000       91.33255656     -0.4093758644E-01   90.40493047     -0.4815718459E-01 -0.1503542763E-01   90.75179092    
   5.490000000       300.0000000       56.73801159     -0.3090596996E-01   56.49933025     -0.5923531097E-01 -0.2037338975E-01   56.61570851    
   5.490000000       500.0000000       79.92394777     -0.3830952825E-01   79.16265426     -0.5254181732E-01 -0.1553996539E-01   79.44196857    
   5.490000000       700.0000000       93.20145767     -0.4267531190E-01   92.19472394     -0.4220426685E-01 -0.1351044403E-01   92.57748810    
   5.500000000       300.0000000       58.59651184     -0.3368260842E-01   58.27952002     -0.4901936704E-01 -0.1668096382E-01   58.43387324    
   5.500000000       500.0000000       81.65883704     -0.4044685271E-01   80.77964907     -0.4364076858E-01 -0.1262707793E-01   81.10497254    
   5.500000000       700.0000000       94.60530427     -0.4414219035E-01   93.52086362     -0.3546886561E-01 -0.1178073292E-01   93.93933004    
   5.510000000       300.0000000       59.94247641     -0.3564782154E-01   59.52215823     -0.3687150338E-01 -0.1211898198E-01   59.72019383    
   5.510000000       500.0000000       82.83986169     -0.4208587805E-01   81.83336678     -0.3354114384E-01 -0.9263625368E-02   82.20640834    
   5.510000000       700.0000000       95.51851233     -0.4530136045E-01   94.36008560     -0.2809481622E-01 -0.9906054968E-02   94.81330656    
   5.520000000       300.0000000       60.69682723     -0.3691874205E-01   60.14158016     -0.2317299600E-01 -0.6807176291E-02   60.38981381    
   5.520000000       500.0000000       83.43536733     -0.4316337120E-01   82.29479390     -0.2257176341E-01 -0.5589058125E-02   82.71620787    
   5.520000000       700.0000000       95.92262220     -0.4612586890E-01   94.69668592     -0.2025188760E-01 -0.7958209506E-02   95.18288284    
   5.530000000       300.0000000       60.82008705     -0.3752093083E-01   60.09182048     -0.8445069671E-02 -0.8449369738E-03   60.39720051    
   5.530000000       500.0000000       83.42546824     -0.4364294740E-01   82.14831447     -0.1111019524E-01 -0.1773604201E-02   82.61736767    
   5.530000000       700.0000000       95.80689424     -0.4660027673E-01   94.52307254     -0.1212848651E-01 -0.6017887979E-02   95.03957170    
   5.540000000       300.0000000       60.30901297     -0.3738129435E-01   59.36477721      0.6600628798E-02  0.5477046724E-02   59.73397448    
   5.540000000       500.0000000       82.80347413     -0.4351817257E-01   81.39344347      0.4371407810E-03  0.1989806839E-02   81.90765382    
   5.540000000       700.0000000       95.16869836     -0.4672146534E-01   93.84005814     -0.3923152057E-02 -0.4170643401E-02   94.38325747    
   5.550000000       300.0000000       59.17922882     -0.3628941189E-01   57.97537567      0.2108251432E-01  0.1164556598E-01   58.41386851    
   5.550000000       500.0000000       81.57641516     -0.4281768337E-01   80.04550731      0.1165842609E-01  0.5495866961E-02   80.60029124    
   5.550000000       700.0000000       94.01366350     -0.4649847324E-01   92.65685070      0.4164650061E-02 -0.2502171932E-02   93.22222947    
   5.560000000       300.0000000       57.46232315     -0.3386527026E-01   55.96250639      0.3410442782E-01  0.1715390028E-01   56.47321383    
   5.560000000       500.0000000       79.76463612     -0.4161162659E-01   78.13510959      0.2216150116E-01  0.8538910404E-02   78.72349815    
   5.560000000       700.0000000       92.35557384     -0.4595120371E-01   90.99072553      0.1194386416E-01 -0.1093161070E-02   91.57290821    
   5.570000000       300.0000000       55.21789502     -0.2978428324E-01   53.40592750      0.4500762219E-01  0.2174309320E-01   53.98688904    
   5.570000000       500.0000000       77.40053367     -0.4001613104E-01   75.70631200      0.3159737832E-01  0.1092545911E-01   76.31881852    
   5.570000000       700.0000000       90.21602111     -0.4510789276E-01   88.86639583      0.1924072932E-01 -0.1401166744E-04   89.45927877    
   5.580000000       300.0000000       52.53386472     -0.2419576689E-01   50.43116701      0.5351611635E-01  0.2539090239E-01   51.07214094    
   5.580000000       500.0000000       74.52658677     -0.3819075879E-01   72.81357200      0.3967910782E-01  0.1248669300E-01   73.43830778    
   5.580000000       700.0000000       87.62384504     -0.4400135013E-01   86.31513352      0.2590666976E-01  0.6802094006E-03   86.91207829    
   5.590000000       300.0000000       49.50721845     -0.1792229465E-01   47.19176888      0.5962340690E-01  0.2800039180E-01   47.87071340    
   5.590000000       500.0000000       71.19292503     -0.3632444147E-01   69.51768017      0.4619444493E-01  0.1309176815E-01   70.14080497    
   5.590000000       700.0000000       84.61441094     -0.4266419225E-01   83.37372391      0.3182473687E-01  0.9541811099E-03   83.96781379    
   5.600000000       300.0000000       46.22288124     -0.1220774866E-01   43.84179848      0.6333759670E-01  0.2903633260E-01   44.52352055    
   5.600000000       500.0000000       67.45476486     -0.3460881357E-01   65.88120524      0.5101288570E-01  0.1266352422E-01   66.48775307    
   5.600000000       700.0000000       81.22878492     -0.4112354446E-01   80.08335955      0.3691426688E-01  0.7956602679E-03   80.66770675    
   5.610000000       300.0000000       42.74419991     -0.8271004136E-02   40.50755916      0.6455741805E-01  0.2755383986E-01   41.14718818    
   5.610000000       500.0000000       63.37004316     -0.3320278389E-01   61.96417073      0.5408882370E-01  0.1119606672E-01   62.53920573    
   5.610000000       700.0000000       77.51286938     -0.3939593282E-01   76.48858598      0.4113354420E-01  0.2172812935E-03   77.05666823    
   5.620000000       300.0000000       39.11909843     -0.7045683325E-02   37.26490673      0.6316981227E-01  0.2279694455E-01   37.81695223    
   5.620000000       500.0000000       58.99747771     -0.3219629425E-01   57.82074238      0.5546204172E-01  0.8769497203E-02   58.35069658    
